Name,Position,Club,High School,City,State,Commitment,Commitment URL
Tadej Pirtovšek,Defender,Unknown,Unknown,Unknown,Unknown,San Diego State,https://www.soccerwire.com/college-team/san-diego-state-men/
So Nishikawa,Defender,Unknown,Unknown,Unknown,Unknown,San Diego State,https://www.soccerwire.com/college-team/san-diego-state-men/
Dylan Steely,Defender,Alabama FC,Unknown,Unknown,Alabama,Belmont,https://www.soccerwire.com/college-team/belmont-men/
Luke Smith,Goalkeeper,Lower Merion SC,Unknown,Unknown,Pennsylvania,Drexel,https://www.soccerwire.com/college-team/drexel-men/
Youri Senden,Defender,Unknown,Unknown,Unknown,Unknown,Drexel,https://www.soccerwire.com/college-team/drexel-men/
Ori Arzi,Defender,Unknown,Unknown,Unknown,Unknown,Drexel,https://www.soccerwire.com/college-team/drexel-men/
Isaiah Quarcoo,Forward,Colorado Rapids,Unknown,Unknown,Colorado,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Tom Protzek,Forward,Unknown,Unknown,Unknown,Unknown,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Zach Pena,Defender,New Mexico Rapids SC,Unknown,Unknown,New Mexico,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Ramzi Ouro-Akondo,Defender,Unknown,Unknown,Unknown,Unknown,Marquette,https://www.soccerwire.com/college-team/marquette-men/
Jonas Moen,Defender,Unknown,Unknown,Unknown,Unknown,Marquette,https://www.soccerwire.com/college-team/marquette-men/
Edrey Caceres,Midfielder,Houston Dynamo Academy,Unknown,Unknown,Texas,Marquette,https://www.soccerwire.com/college-team/marquette-men/
Tyquan Stroud,Midfielder,Baltimore Celtic SC,Unknown,Unknown,Maryland,Temple,https://www.soccerwire.com/college-team/temple-men/
Xavier Rimpel,Forward,Unknown,Unknown,Unknown,Ontario,Temple,https://www.soccerwire.com/college-team/temple-men/
Alex O'Leary,Defender,Penn Fusion,Unknown,Unknown,Pennsylvania,Temple,https://www.soccerwire.com/college-team/temple-men/
Chris Melino,Defender,Unknown,Unknown,Unknown,Ontario,Temple,https://www.soccerwire.com/college-team/temple-men/
Andrew Noel,Goalkeeper,Cedar Stars Academy - Bergen,Unknown,Unknown,New Jersey,Pitt,https://www.soccerwire.com/college-team/pitt-men/
Felix Barajas,Forward,LA Galaxy,Unknown,Unknown,California,Duke,https://www.soccerwire.com/college-team/duke-men/
Jordan Santa Cruz,Goalkeeper,Real Salt Lake - AZ,Unknown,Unknown,Arizona,Memphis,https://www.soccerwire.com/college-team/memphis-men/
Lineker Rodrigues dos Santos,Forward,Dynamos Soccer Club,Unknown,Unknown,Texas,Memphis,https://www.soccerwire.com/college-team/memphis-men/
Tyler Griffin,Forward,Solar Soccer Club,Unknown,Unknown,Texas,Memphis,https://www.soccerwire.com/college-team/memphis-men/
Evagoras Antoniou,Defender,Unknown,Unknown,Unknown,Unknown,Memphis,https://www.soccerwire.com/college-team/memphis-men/
Lars Haavie,Goalkeeper,Unknown,Unknown,Unknown,Unknown,Saint Joseph's,https://www.soccerwire.com/college-team/saint-josephs-men/
Santiago Frias,Defender,Unknown,Unknown,Unknown,Ontario,Akron,https://www.soccerwire.com/college-team/akron-men/
Kevin Andrews,Midfielder,Unknown,Unknown,Unknown,Minnesota,UCF,https://www.soccerwire.com/college-team/ucf-men/
Knobel Hunt,Defender,FC Dallas,Unknown,Unknown,Texas,SMU,https://www.soccerwire.com/college-team/smu-men/
Neal Carlson,Defender,Chattanooga Red Wolves Academy,Unknown,Unknown,Alabama,SMU,https://www.soccerwire.com/college-team/smu-men/
Isaac Briner,Goalkeeper,Santa Barbara Soccer Club,Unknown,Unknown,California,SMU,https://www.soccerwire.com/college-team/smu-men/
Ben Bacdayan,Midfielder,Beadling SC,Unknown,Unknown,Pennsylvania,Duquesne,https://www.soccerwire.com/college-team/duquesne-men/
Alex Geczy,Goalkeeper,FC DELCO,Unknown,Unknown,Pennsylvania,UMass,https://www.soccerwire.com/college-team/umass-men/
Stas Korzeniowski,Forward,Players Development Academy (PDA),Unknown,Unknown,New Jersey,Penn,https://www.soccerwire.com/college-team/penn-men/
Ben Do,Defender,San Jose Earthquakes Academy,Unknown,Unknown,California,Penn,https://www.soccerwire.com/college-team/penn-men/
Eric Ponieman,Defender,Metropolitan Oval,Unknown,Unknown,New York,Lafayette,https://www.soccerwire.com/college-team/lafayette-men/
Jack Keating,Defender,Cedar Stars Academy - Monmouth,Unknown,Unknown,New Jersey,Lafayette,https://www.soccerwire.com/college-team/lafayette-men/
Griffin Huff,Goalkeeper,Empire United Soccer Academy,Unknown,Unknown,New York,Lafayette,https://www.soccerwire.com/college-team/lafayette-men/
