Name,Position,Club,High School,City,State,Commitment,Commitment URL
Gio Polizzi,Midfielder,Ballistic United Soccer Club (BUSC),Unknown,Unknown,California,Memphis,https://www.soccerwire.com/college-team/memphis-men/
Micaah Garnette,Forward,Cedar Stars Academy - Monmouth,Unknown,Unknown,New Jersey,St. John's,https://www.soccerwire.com/college-team/st-johns-men/
Cameron Michalak,Midfielder,Sporting Delaware FC,Unknown,Unknown,Delaware,Baldwin Wallace,https://www.soccerwire.com/college-team/baldwin-wallace-men/
Gavin Kalish,Midfielder,St. Louis Scott Gallagher (SLSG),Unknown,Unknown,Missouri,Maryville of Saint Louis,https://www.soccerwire.com/college-team/maryville-of-saint-louis-men/
"James ""Jimmy"" Doherty",Forward,St. Louis Scott Gallagher (SLSG),Unknown,Unknown,Missouri,Maryville of Saint Louis,https://www.soccerwire.com/college-team/maryville-of-saint-louis-men/
Jason Smith,Goalkeeper,Barca Residency Academy - Arizona,Unknown,Unknown,California,Utah Valley,https://www.soccerwire.com/college-team/utah-valley-men/
Jacob Pohl,Defender,Indiana Fire Academy,Unknown,Unknown,Indiana,Butler,https://www.soccerwire.com/college-team/butler-men/
Jimmy Glendenning,Forward,Unknown,Unknown,Unknown,North Carolina,Coastal Carolina,https://www.soccerwire.com/college-team/coastal-carolina-men/
Emmanuel Smalios,Goalkeeper,Houston Dynamo Academy,Unknown,Houston,Texas,St. John's,https://www.soccerwire.com/college-team/st-johns-men/
Holden Woodings,Forward,Achilles FC,Unknown,Unknown,Maryland,UNC Greensboro,https://www.soccerwire.com/college-team/unc-greensboro-men/
Noah Ekberg,Defender,Unknown,Unknown,Unknown,Unknown,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Seth Massotti,Midfielder,Boston Bolts,Unknown,Douglas,Massachusetts,Waynesburg,https://www.soccerwire.com/college-team/waynesburg-men/
Bryce Lexow,Midfielder,Philadelphia Ukrainian Nationals,Unknown,Rydal,Pennsylvania,NYU,https://www.soccerwire.com/college-team/nyu-men/
Nate Erre,Defender,Club Ohio,Unknown,Upper Arlington,Ohio,Wright State,https://www.soccerwire.com/college-team/wright-state-men/
Nate Vota,Defender,FC Cincinnati Academy,Unknown,Cincinnati,Ohio,Washington in St. Louis,https://www.soccerwire.com/college-team/washington-in-st-louis-men/
Alex Eydelman,Goalkeeper,Bethesda SC,Unknown,Annandale,Virginia,Radford,https://www.soccerwire.com/college-team/radford-men/
Brandon Curran,Midfielder,Philadelphia Ukrainian Nationals,Unknown,Unknown,Pennsylvania,Penn,https://www.soccerwire.com/college-team/penn-men/
Tommy Altirs,Midfielder,Cedar Stars Academy - Bergen,Unknown,Unknown,New Jersey,Penn,https://www.soccerwire.com/college-team/penn-men/
Ryan Fessler,Midfielder,Sporting Kansas City Youth,Unknown,Unknown,North Carolina,Wake Forest,https://www.soccerwire.com/college-team/wake-forest-men/
Julian Kennedy,Forward,Orlando City Youth Soccer Club,Unknown,Unknown,Florida,Wake Forest,https://www.soccerwire.com/college-team/wake-forest-men/
Will Buete,Midfielder,North Carolina FC Youth,Unknown,Unknown,North Carolina,NC State,https://www.soccerwire.com/college-team/nc-state-men/
Muslim Umar,Forward,Unknown,Unknown,Unknown,AB,Portland,https://www.soccerwire.com/college-team/portland-men/
Jaylen Rodwell,Defender,Unknown,Unknown,Unknown,Unknown,Portland,https://www.soccerwire.com/college-team/portland-men/
Richie Nichols,Midfielder,Baltimore Armour,Unknown,Unknown,Maryland,Maryland,https://www.soccerwire.com/college-team/maryland-men/
Caden Byrnes,Goalkeeper,Real Colorado,Unknown,Unknown,Colorado,Maryland,https://www.soccerwire.com/college-team/maryland-men/
Babacar Niang,Forward,Players Development Academy (PDA),Unknown,Unknown,Unknown,Wake Forest,https://www.soccerwire.com/college-team/wake-forest-men/
Malcolm Brickhouse,Midfielder,SOCA,Unknown,Unknown,Virginia,Virginia,https://www.soccerwire.com/college-team/virginia-men/
Logan Gilley,Midfielder,Charlotte Independence SC,Unknown,Unknown,North Carolina,UNC Greensboro,https://www.soccerwire.com/college-team/unc-greensboro-men/
James Denham,Midfielder,Charlotte Independence SC,Unknown,Unknown,North Carolina,Appalachian State,https://www.soccerwire.com/college-team/appalachian-state-men/
Jack Guckien,Midfielder,Indiana Fire Academy,Unknown,Unknown,Indiana,Butler,https://www.soccerwire.com/college-team/butler-men/
Ian Smith,Defender,Real Colorado,Unknown,Unknown,Colorado,Denver,https://www.soccerwire.com/college-team/denver-men/
Dalton Hass,Midfielder,FC United Soccer Club,Unknown,Unknown,Illinois,Maryland,https://www.soccerwire.com/college-team/maryland-men/
Chase Gilley,Forward,Charlotte Independence SC,Unknown,Unknown,North Carolina,UNC Greensboro,https://www.soccerwire.com/college-team/unc-greensboro-men/
Blaine Mabie,Midfielder,FC United Soccer Club,Unknown,Unknown,Illinois,Georgetown,https://www.soccerwire.com/college-team/georgetown-men/
Brock Pickett,Midfielder,Team Challenger FC,Unknown,Cleveland,Ohio,Wright State,https://www.soccerwire.com/college-team/wright-state-men/
Will Horn,Defender,Cedar Stars Academy - Bergen,Unknown,Unknown,New Jersey,St. John's,https://www.soccerwire.com/college-team/st-johns-men/
Vincent Petrera,Forward,Maryland United FC,Unknown,Unknown,Maryland,Villanova,https://www.soccerwire.com/college-team/villanova-men/
Trevor Share,Goalkeeper,Sockers FC,Unknown,Unknown,Illinois,Butler,https://www.soccerwire.com/college-team/butler-men/
Taylor Rhinehart,Forward,Indiana Fire Academy,Unknown,Unknown,Indiana,Xavier,https://www.soccerwire.com/college-team/xavier-men/
Samuel Latona,Midfielder,Valeo FC,Unknown,Unknown,New Hampshire,Cornell,https://www.soccerwire.com/college-team/cornell-men/
Ryan Yankee,Midfielder,Virginia Development Academy (VDA),Unknown,Ashburn,Virginia,Elon,https://www.soccerwire.com/college-team/elon-men/
Charlie Crockford,Midfielder,Chicago Fire Academy,Unknown,Unknown,Illinois,UCLA,https://www.soccerwire.com/college-team/ucla-men/
Ronan Dillow,Forward,Oakwood Soccer Club,Unknown,Unknown,Connecticut,Georgetown,https://www.soccerwire.com/college-team/georgetown-men/
Ruben Mesalles,Midfielder,IMG Academy,Unknown,Unknown,Florida,Duke,https://www.soccerwire.com/college-team/duke-men/
Michael Balleani,Forward,Boston Bolts,Unknown,Unknown,Massachusetts,Brown,https://www.soccerwire.com/college-team/brown-men/
Conrad Lee,Goalkeeper,Seattle Sounders FC Academy,Unknown,Unknown,New Hampshire,Yale,https://www.soccerwire.com/college-team/yale-men/
Nico Braun,Midfielder,Eastside Timbers,Unknown,Beaverton,Oregon,Gonzaga,https://www.soccerwire.com/college-team/gonzaga-men/
Beto Apolinar,Midfielder,LAFC So Cal Youth,Unknown,Unknown,California,San Diego State,https://www.soccerwire.com/college-team/san-diego-state-men/
Aron Saevarsson,Defender,Unknown,Unknown,Raykjavik,Unknown,Wisconsin,https://www.soccerwire.com/college-team/wisconsin-men/
Jonathan Bowen,Defender,Indiana Fire Academy,Unknown,Westfield,Indiana,Wisconsin,https://www.soccerwire.com/college-team/wisconsin-men/
Cade MacLean,Midfielder,Unknown,Unknown,Unknown,Tennessee,Belmont,https://www.soccerwire.com/college-team/belmont-men/
Alex Johnson,Midfielder,Tennessee SC,Unknown,Unknown,Tennessee,Belmont,https://www.soccerwire.com/college-team/belmont-men/
Pierce Holbrook,Goalkeeper,Real Colorado,Unknown,Unknown,Colorado,Navy,https://www.soccerwire.com/college-team/navy-men/
Connor Hinds,Midfielder,Unknown,Unknown,Holmdel,New Jersey,Villanova,https://www.soccerwire.com/college-team/villanova-men/
Christian Matson,Goalkeeper,Shattuck-St. Mary's,Unknown,Unknown,New Jersey,Saint Joseph's,https://www.soccerwire.com/college-team/saint-josephs-men/
James Macchia,Goalkeeper,Unknown,Unknown,Unknown,Pennsylvania,Lafayette,https://www.soccerwire.com/college-team/lafayette-men/
AliYasin Aly,Defender,Unknown,Unknown,Unknown,New Jersey,Yale,https://www.soccerwire.com/college-team/yale-men/
Owen Ruddy,Defender,Beach FC (VA),Unknown,Virginia Beach,Virginia,Old Dominion,https://www.soccerwire.com/college-team/old-dominion-men/
Mads Westergren,Defender,Unknown,Unknown,Unknown,Unknown,SMU,https://www.soccerwire.com/college-team/smu-men/
Kyran Chambron Pinho,Defender,Unknown,Unknown,Unknown,Unknown,SMU,https://www.soccerwire.com/college-team/smu-men/
Liam Giffin,Forward,Unknown,Unknown,Unknown,Maryland,Duquesne,https://www.soccerwire.com/college-team/duquesne-men/
Brad Moccio,Defender,NEFC,Unknown,Unknown,Massachusetts,UMass,https://www.soccerwire.com/college-team/umass-men/
Elliot Hayes,Defender,FC Stars,Unknown,Chelmsford,Massachusetts,San Diego,https://www.soccerwire.com/college-team/san-diego-men/
Cam Murray,Defender,Unknown,Unknown,Perth,Unknown,NC State,https://www.soccerwire.com/college-team/nc-state-men/
John Trucillo,Forward,Charlotte Soccer Academy,Unknown,Tega Cay,South Carolina,UCF,https://www.soccerwire.com/college-team/ucf-men/
Erick Kilosho,Midfielder,VBR Star,Unknown,Roanoke,Virginia,Virginia,https://www.soccerwire.com/college-team/virginia-men/
Alex Lopez,Goalkeeper,Unknown,Unknown,Unknown,Unknown,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Noah Eckberg,Defender,Unknown,Unknown,Unknown,Unknown,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Sean Graham,Defender,Unknown,Unknown,Unknown,Unknown,Loyola Maryland,https://www.soccerwire.com/college-team/loyola-maryland-men/
Noah Bohane,Midfielder,De Anza Force,Unknown,Unknown,California,Saint Mary's (Calif.),https://www.soccerwire.com/college-team/saint-marys-calif-men/
Kanoa Borromeo,Defender,Washington Premier,Unknown,Unknown,Washington,Saint Mary's (Calif.),https://www.soccerwire.com/college-team/saint-marys-calif-men/
Bourdanné Ngongfor,Midfielder,Unknown,Unknown,Unknown,Unknown,Saint Mary's (Calif.),https://www.soccerwire.com/college-team/saint-marys-calif-men/
Felix Calero,Forward,San Diego Surf,Unknown,Unknown,California,Saint Mary's (Calif.),https://www.soccerwire.com/college-team/saint-marys-calif-men/
"Daniel ""Danny"" Moya",Midfielder,New York City FC Academy,Unknown,Unknown,New York,Temple,https://www.soccerwire.com/college-team/temple-men/
Wan Kuzri Wan Kamal,Midfielder,Saint Louis FC,Unknown,Unknown,Illinois,Akron,https://www.soccerwire.com/college-team/akron-men/
Asher J'n Pierre,Forward,IMG Academy,Unknown,Unknown,Unknown,UCF,https://www.soccerwire.com/college-team/ucf-men/
Joe Buck,Midfielder,New England Revolution Academy,Unknown,Unknown,Massachusetts,Georgetown,https://www.soccerwire.com/college-team/georgetown-men/
Kwaku Marfo-Sarbeng,Midfielder,Baltimore Celtic Union,Unknown,Owings Mills,Maryland,Santa Clara,https://www.soccerwire.com/college-team/santa-clara-men/
Noah Lopez,Forward,Legends FC,Unknown,Highland,California,UC Riverside,https://www.soccerwire.com/college-team/uc-riverside-men/
Alejandro Valdivia,Unknown,Legends FC,Unknown,Perris,California,CSUSB,https://www.soccerwire.com/college-team/csusb-men/
Jarett Flores,Defender,Legends FC,Unknown,Rancho Cucamonga,California,Whitworth,https://www.soccerwire.com/college-team/whitworth-men/
Cristian Prieto,Forward,Legends FC,Santiago,Corona,California,Cal Poly Pomona,https://www.soccerwire.com/college-team/cal-poly-pomona-men/
Gabriel Maksymiw,Goalkeeper,New Jersey Stallions Academy,Unknown,Clifton,New Jersey,NJIT,https://www.soccerwire.com/college-team/njit-men/
Niklas Schaffner,Defender,Jacksonville FC,Unknown,Unknown,Florida,North Florida,https://www.soccerwire.com/college-team/north-florida-men/
Luca Contestabile,Midfielder,Portland Timbers Academy,Unknown,Unknown,Minnesota,Coastal Carolina,https://www.soccerwire.com/college-team/coastal-carolina-men/
Adam Shaia,Defender,Richmond United,Unknown,Richmond,Virginia,Loyola Maryland,https://www.soccerwire.com/college-team/loyola-maryland-men/
Hansy Velazquez,Midfielder,IMG Academy,Unknown,Bradenton,Florida,Radford,https://www.soccerwire.com/college-team/radford-men/
Matthew Hunter,Defender,Richmond United,Unknown,Midlothian,Virginia,Virginia,https://www.soccerwire.com/college-team/virginia-men/
Parker Finnegan,Unknown,Strikers FC - North,Unknown,Unknown,California,Western Michigan,https://www.soccerwire.com/college-team/western-michigan-men/
Danny Flores Gonzales,Midfielder,Philadelphia Union Academy,Unknown,Unknown,California,Virginia Tech,https://www.soccerwire.com/college-team/virginia-tech-men/
Ty Walker,Defender,New York Red Bulls Academy,Unknown,Unknown,North Carolina,Portland,https://www.soccerwire.com/college-team/portland-men/
Sebastian Hernandez,Defender,LA Galaxy,Unknown,Unknown,California,Portland,https://www.soccerwire.com/college-team/portland-men/
Josh O’Brien,Midfielder,Seattle Sounders FC Academy,Unknown,Unknown,Washington,Washington,https://www.soccerwire.com/college-team/washington-men/
Aidan Arber,Defender,Players Development Academy (PDA),Unknown,Unknown,New Jersey,Syracuse,https://www.soccerwire.com/college-team/syracuse-men/
Oluwaseun Oyegunle,Defender,Unknown,Unknown,Unknown,Ontario,Syracuse,https://www.soccerwire.com/college-team/syracuse-men/
Ben Liscum,Midfielder,Lehigh Valley United,Unknown,Unknown,Pennsylvania,Penn State,https://www.soccerwire.com/college-team/penn-state-men/
Josh Adam,Forward,Michigan Jaguars,Unknown,Unknown,Michigan,Michigan State,https://www.soccerwire.com/college-team/michigan-state-men/
Landon Green,Midfielder,ALBION SC - San Diego,Unknown,Leucadia,California,Washington in St. Louis,https://www.soccerwire.com/college-team/washington-in-st-louis-men/
Jarimyah Cook,Forward,Tampa Bay United,Unknown,Unknown,Florida,Tennessee Wesleyan,https://www.soccerwire.com/college-team/tennessee-wesleyan-men/
Tapiwanashe Shumba,Midfielder,New York Red Bulls Academy,Unknown,Unknown,New York,Fordham,https://www.soccerwire.com/college-team/fordham-men/
Griffin Dillon,Midfielder,La Roca FC,Unknown,Unknown,Utah,Maryland,https://www.soccerwire.com/college-team/maryland-men/
CH Stout,Defender,Keystone FC,Unknown,Lewisberry,Pennsylvania,Houghton,https://www.soccerwire.com/college-team/houghton-men/
Grant Peters,Midfielder,Sporting Blue Valley,Rockhurst Jesuit,Overland Park,Kansas,Bradley,https://www.soccerwire.com/college-team/bradley-men/
Sebastian Nava,Forward,LA Galaxy,Unknown,Unknown,California,Portland,https://www.soccerwire.com/college-team/portland-men/
Santiago Hopkins,Defender,LAFC So Cal Youth,Unknown,Unknown,California,Cal,https://www.soccerwire.com/college-team/cal-men/
Ryan Cote,Forward,Real Colorado,Unknown,Unknown,Colorado,Yale,https://www.soccerwire.com/college-team/yale-men/
Rommee Jaridly,Forward,Strikers FC - North,Unknown,Unknown,California,San Diego State,https://www.soccerwire.com/college-team/san-diego-state-men/
Nicolas Mancilla,Midfielder,Unknown,Unknown,Unknown,Unknown,Wake Forest,https://www.soccerwire.com/college-team/wake-forest-men/
Nicholas Attanasio,Defender,ALBION SC - San Diego,Unknown,Unknown,California,Northeastern,https://www.soccerwire.com/college-team/northeastern-men/
Miles Lyons,Defender,Barca Residency Academy - Arizona,Unknown,Unknown,Arizona,Portland,https://www.soccerwire.com/college-team/portland-men/
Michael Catanzarite,Forward,Empire United Soccer Academy,Unknown,Unknown,New York,DePaul,https://www.soccerwire.com/college-team/depaul-men/
Joshua Bolma,Midfielder,Black Rock FC,Unknown,Unknown,Connecticut,Maryland,https://www.soccerwire.com/college-team/maryland-men/
Josh Jones,Midfielder,Philadelphia Ukrainian Nationals,Unknown,Unknown,Pennsylvania,Louisville,https://www.soccerwire.com/college-team/louisville-men/
Ife Adenuga,Midfielder,Unknown,Unknown,Unknown,Ontario,Syracuse,https://www.soccerwire.com/college-team/syracuse-men/
Henry Cullen Scott,Midfielder,Dallas Texans,Unknown,Unknown,Texas,Penn,https://www.soccerwire.com/college-team/penn-men/
Harrison Sprofera,Defender,New England Revolution Academy,Unknown,Unknown,Massachusetts,Brown,https://www.soccerwire.com/college-team/brown-men/
Grady Easton,Defender,FC Dallas,Unknown,Unknown,Texas,SMU,https://www.soccerwire.com/college-team/smu-men/
Francesco Pagano,Forward,Empire United Soccer Academy,Unknown,Unknown,New York,Syracuse,https://www.soccerwire.com/college-team/syracuse-men/
Connor Walcott,Midfielder,Strikers FC - North,Unknown,Unknown,California,Navy,https://www.soccerwire.com/college-team/navy-men/
Connor Gramke,Midfielder,Saint Louis FC,Unknown,Unknown,Illinois,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Cole Parete,Midfielder,Cleveland Force,Unknown,Unknown,Ohio,Georgetown,https://www.soccerwire.com/college-team/georgetown-men/
Benjamin Collins,Goalkeeper,Club de Foot Montréal Academy,Unknown,Unknown,Ontario,Cornell,https://www.soccerwire.com/college-team/cornell-men/
Adam Lundegard,Defender,D.C. United Academy,Unknown,Unknown,Maryland,Clemson,https://www.soccerwire.com/college-team/clemson-men/
Tommaso Villa,Midfielder,Columbus Crew SC Academy,Unknown,Unknown,Ohio,Ohio State,https://www.soccerwire.com/college-team/ohio-state-men/
Medard Mikobi,Midfielder,Indiana Fire Academy,Unknown,Unknown,Indiana,Xavier,https://www.soccerwire.com/college-team/xavier-men/
Ethan Mills,Midfielder,FC Cincinnati Academy,Unknown,Unknown,Ohio,Xavier,https://www.soccerwire.com/college-team/xavier-men/
Robert (Trace) Alphin,Goalkeeper,North Carolina FC Youth,Unknown,Unknown,North Carolina,Wake Forest,https://www.soccerwire.com/college-team/wake-forest-men/
Joseph Skinner,Midfielder,Charlotte Independence SC,Unknown,Unknown,North Carolina,UNC Greensboro,https://www.soccerwire.com/college-team/unc-greensboro-men/
Jon Paul Jordan,Midfielder,Solar Soccer Club,Unknown,Unknown,Texas,SMU,https://www.soccerwire.com/college-team/smu-men/
Matthew Roou,Forward,Indiana Fire Academy,Unknown,Unknown,Wisconsin,Notre Dame,https://www.soccerwire.com/college-team/notre-dame-men/
Joshua Ramsey,Defender,Solar Soccer Club,Unknown,Unknown,Texas,Notre Dame,https://www.soccerwire.com/college-team/notre-dame-men/
Rik Regeling,Defender,Unknown,Unknown,Unknown,Unknown,San Diego State,https://www.soccerwire.com/college-team/san-diego-state-men/
Will Navarre,Forward,Unknown,Unknown,Milwaukee,Wisconsin,Wisconsin,https://www.soccerwire.com/college-team/wisconsin-men/
Jed Dixon,Defender,Baltimore Celtic SC,Unknown,Unknown,Maryland,Fordham,https://www.soccerwire.com/college-team/fordham-men/
Erik Eads,Forward,Beach FC (VA),Unknown,Unknown,Georgia,Navy,https://www.soccerwire.com/college-team/navy-men/
Roey Mordechay,Forward,Unknown,Unknown,Unknown,Unknown,Drexel,https://www.soccerwire.com/college-team/drexel-men/
Ryan Kipness,Forward,New York City FC Academy,Unknown,Unknown,Connecticut,Columbia,https://www.soccerwire.com/college-team/columbia-men/
Bryan Cosman,Defender,New Jersey Stallions Academy,Unknown,Unknown,New Jersey,Columbia,https://www.soccerwire.com/college-team/columbia-men/
Santiago Labarca,Defender,Unknown,Unknown,Unknown,Unknown,Akron,https://www.soccerwire.com/college-team/akron-men/
Jeffery Koch,Defender,Pride Soccer Club,Unknown,Unknown,Colorado,SMU,https://www.soccerwire.com/college-team/smu-men/
Trent McConnaughey,Goalkeeper,Club Ohio,Unknown,Unknown,Ohio,Duquesne,https://www.soccerwire.com/college-team/duquesne-men/
Drew Snodgrass,Goalkeeper,Lonestar SC,Unknown,Unknown,Texas,Tulsa,https://www.soccerwire.com/college-team/tulsa-men/
Jordy Luchies,Defender,Unknown,Unknown,Unknown,Unknown,Loyola Maryland,https://www.soccerwire.com/college-team/loyola-maryland-men/
Jan Marpe,Defender,Unknown,Unknown,Unknown,Unknown,Saint Mary's (Calif.),https://www.soccerwire.com/college-team/saint-marys-calif-men/
Michael Sullivan,Midfielder,Unknown,Unknown,Unknown,Pennsylvania,Pitt,https://www.soccerwire.com/college-team/pitt-men/
Luis Sahmkow,Forward,Solar Soccer Club,Unknown,Unknown,Texas,Pitt,https://www.soccerwire.com/college-team/pitt-men/
Jordan Livits,Midfielder,Cincinnati United Premier,Unknown,Unknown,Ohio,Duquesne,https://www.soccerwire.com/college-team/duquesne-men/
Luke Alese,Defender,Arsenal FC,Unknown,Unknown,Pennsylvania,Duquesne,https://www.soccerwire.com/college-team/duquesne-men/
Andrew Ortiz,Midfielder,NEFC,Unknown,Unknown,Massachusetts,UMass,https://www.soccerwire.com/college-team/umass-men/
Guilherme Vivaldini,Unknown,Unknown,Unknown,Unknown,Unknown,Xavier,https://www.soccerwire.com/college-team/xavier-men/
Anthony Navarra,Defender,ALBION SC - San Diego,Cathedral Catholic,San Diego,California,SIUE,https://www.soccerwire.com/college-team/siue-men/
Julius Rauch,Forward,Unknown,Unknown,Unknown,Unknown,Syracuse,https://www.soccerwire.com/college-team/syracuse-men/
Jack Borden,Defender,Match Fit Academy,Unknown,Unknown,New Jersey,Lafayette,https://www.soccerwire.com/college-team/lafayette-men/
Gelber Lemus,Defender,Bethesda SC,Unknown,Unknown,Maryland,Yale,https://www.soccerwire.com/college-team/yale-men/
Tyson Balleza,Defender,Ballistic United Soccer Club (BUSC),Unknown,Unknown,California,Pacific,https://www.soccerwire.com/college-team/pacific-men/
Marcelo Guerra-Echevarria,Goalkeeper,Ballistic United Soccer Club (BUSC),Unknown,Unknown,California,SMU,https://www.soccerwire.com/college-team/smu-men/
Arroll Taekla,Forward,Unknown,Unknown,Boulder,Colorado,Coastal Carolina,https://www.soccerwire.com/college-team/coastal-carolina-men/
Wrenano Honeyghan,Forward,Bayside FC,Unknown,Wakefield,Rhode Island,New Hampshire,https://www.soccerwire.com/college-team/new-hampshire-men/
John Burnett,Midfielder,Colorado Rapids,Unknown,Windsor,Colorado,Colorado School of Mines,https://www.soccerwire.com/college-team/colorado-school-of-mines-men/
Jonathan Cardona,Defender,ALBION SC - San Diego,Unknown,Unknown,California,Northwest Nazarene,https://www.soccerwire.com/college-team/northwest-nazarene-men/
Danny Orozco,Midfielder,Oxnard United SC,Unknown,Oxnard,California,San Diego,https://www.soccerwire.com/college-team/san-diego-men/
Charlie Gaffney,Forward,Portland Timbers Academy,Unknown,Unknown,Washington,Penn,https://www.soccerwire.com/college-team/penn-men/
Matthew Hutchison,Midfielder,Lonestar SC,Unknown,Unknown,Texas,Cornell,https://www.soccerwire.com/college-team/cornell-men/
Arsalan Monshizadeh,Defender,Legends FC,Unknown,Rancho Cucamonga,California,University of Dallas,https://www.soccerwire.com/college-team/university-of-dallas-men/
Gavin Ramirez,Midfielder,Legends FC,Unknown,Corona,California,Saint Francis,https://www.soccerwire.com/college-team/saint-francis-men/
Diego Chavez,Midfielder,Legends FC,Unknown,Corona,California,CSU Bakersfield,https://www.soccerwire.com/college-team/csu-bakersfield-men/
Gora Gora,Forward,Minnesota United FC Youth,Unknown,Unknown,Minnesota,Liberty,https://www.soccerwire.com/college-team/liberty-men/
Eugene Heger,Midfielder,Houston FC,Unknown,Houston,Texas,Washington in St. Louis,https://www.soccerwire.com/college-team/washington-in-st-louis-men/
Tyler Smith,Goalkeeper,Florida Kraze Krush,Unknown,Ocoee,Florida,Tiffin,https://www.soccerwire.com/college-team/tiffin-men/
